Id,inspectionScore,maneuverabilityScore,maintananceConcerns,weatherSeverityScore,temperature,safetyCheckFailures,galeStrength,lastInspected,incidentCode,incidentID,maxCruisingElevation,scaleOfIncident
0,16.3013698630137,59.161349134001796,17,0.129039751153255,79.66,3,0.298803461954562,16,3,10888,26116.1340059494,catastrophic
1,18.310502283105,62.5341841385597,8,0.00318557811251554,78.0,1,0.288345474215651,16,7,587,36059.2215837245,catastrophic
2,25.662100456620998,70.7383773928897,10,0.0648774547016707,79.17,2,0.207205914172377,14,4,4574,35594.722894088,catastrophic
3,37.4885844748858,66.6362807657247,7,0.0035568774101538,81.56,2,0.29555787955283,14,6,12044,14871.6649197146,medium
4,58.401826484018294,71.7411121239745,4,0.35682265469168,79.31,2,0.362272628921745,11,2,8948,26391.631688486497,low
5,53.9269406392694,69.64448495897899,11,0.558462255265561,85.08,2,0.474425531914894,12,2,3622,41597.9304343148,low
6,49.77168949771689,37.6481312670921,6,0.0867404728643644,84.87,2,0.5425827623512439,14,4,12262,47124.2411106397,low
7,34.0639269406393,62.351868732907896,1,0.0664963794143816,77.36,2,0.339192931842769,15,4,1717,36420.956296758304,medium
8,21.9178082191781,62.807657247037405,13,0.147082418871215,79.4,2,0.330898665705012,18,3,4425,29457.1314157155,medium
9,45.5707762557078,48.5414767547858,17,1.45138366021503,79.45,3,0.514093761269383,8,1,4347,39029.733563313304,high
10,9.49771689497717,73.0628988149499,4,0.0384089818644619,80.03,1,0.323325640100974,18,4,9711,21240.300662289,catastrophic
11,60.5479452054795,66.0893345487694,19,0.0216865530062197,78.52,2,0.530321673278038,10,5,9730,33228.462133580295,low
12,78.675799086758,75.8432087511395,13,0.0042445268454015,76.87,2,0.276805625676163,8,7,6401,45294.83047061651,high
13,27.397260273972602,72.1969006381039,0,0.415919626722151,77.36,2,0.34027479264334604,17,2,7372,30684.6725583661,medium
14,18.949771689497698,59.9817684594348,3,0.199585420560171,80.13,3,0.47117994951316206,19,3,2962,39951.8232283986,medium
15,31.735159817351605,76.0711030082042,0,0.0765923031796364,78.84,4,0.23389181391994196,19,4,5083,41573.9651981208,low
16,30.1369863013699,54.968094804010896,0,0.0324831783332799,86.98,2,0.240743598990263,13,4,7341,17318.5484826987,high
17,34.3835616438356,77.7119416590702,4,0.006099969548080461,78.53,2,0.24110421925712197,11,6,7456,25556.9388061089,catastrophic
18,56.25570776255711,55.469462169553296,40,0.19483461206238398,79.66,3,0.72758095924991,12,3,8894,39022.5829015647,catastrophic
19,25.433789954337897,59.57155879671829,7,0.9483413993765591,78.6,3,0.5097663180670751,14,1,3745,25739.384677142203,catastrophic
20,60.365296803653,52.0966271649954,21,0.467548979553349,77.62,3,0.581529751172016,7,2,1236,34473.7994438458,low
21,34.7488584474886,68.003646308113,7,0.0993228008242308,80.22,2,0.253004688063469,15,3,3923,20061.5449045476,medium
22,33.5616438356164,51.640838650866,10,0.152337945102486,81.89,2,0.3936465921384779,15,3,11455,30205.1411058189,low
23,58.0365296803653,46.4904284412033,0,0.16749854389415697,77.69,1,0.6349015506671469,11,2,7376,9963.02930885873,catastrophic
24,56.9406392694064,72.47037374658159,33,0.444553307539715,80.09,1,0.273560043274432,11,2,11020,32861.2768383276,low
25,17.5799086757991,38.149498632634504,9,0.00804897104676357,79.53,2,0.59090587811035,16,6,10087,31006.5572504406,high
26,38.9954337899543,62.807657247037405,2,0.0775283006898538,80.53,1,0.328734944103858,10,4,7910,42489.0677436993,catastrophic
27,36.62100456621,61.440291704649105,10,0.436192385548046,77.16,1,0.352535881716553,11,2,9562,32215.0676113939,catastrophic
28,70.0913242009132,61.71376481312671,1,0.0751863237275054,81.71,3,0.496423368193292,11,4,1172,41187.0679632975,high
29,43.7899543378995,32.7256153144941,0,0.0223033361226062,82.34,1,0.584775333573747,9,5,10448,32628.399491092,high
30,60.1826484018265,45.2597994530538,7,0.0018293760999619102,81.8,5,0.5209455463397039,10,7,2502,21768.7855190636,medium
31,48.538812785388096,64.9042844120328,0,0.17253938189435597,77.41,3,0.354699603317706,17,3,5013,34758.9344410775,high
32,28.630136986301398,88.1494986326345,0,0.0570878909990524,82.49,2,0.20396033177064501,13,4,654,31646.748436822596,catastrophic
33,45.0228310502283,49.6809480401094,3,0.0152037981933412,76.53,3,0.36732131265777096,12,5,3350,23159.6988748288,medium
34,60.136986301369895,64.4940747493163,2,0.43598352996746204,81.49,1,0.317555715831229,10,2,10559,32218.4656381463,low
35,30.3196347031963,86.9644484958979,0,0.21159615197315498,76.89,3,0.220548864046159,16,3,2190,42630.0016766009,medium
36,15.9817351598174,82.5888787602553,5,1.73575874706691,79.88,4,0.279329967544176,17,1,2432,47235.0426420563,catastrophic
37,87.48858447488578,39.8814949863264,2,0.0024140516354806602,80.15,3,0.52960043274432,3,7,10139,26661.013402902598,medium
38,57.1232876712329,57.520510483135794,7,0.00440429373420935,79.6,2,0.44413342949873796,15,7,1688,47578.1608846135,high
39,41.9178082191781,66.4995442114859,22,0.427712027840683,76.2,3,0.387876667868734,16,2,7026,31546.4382673113,low
40,42.283105022831,40.0638103919782,11,0.0100253470599817,79.89,1,0.51878182473855,12,6,1223,39871.186072916404,low
41,29.1780821917808,77.7119416590702,4,0.0728513382155746,80.55,2,0.17330760908763,13,3,1803,14446.0324722251,catastrophic
42,23.561643835616398,56.4721969006381,1,0.0485064756050535,77.64,1,0.784558961413632,14,4,4042,26257.387922929902,high
43,45.15981735159821,68.7329079307201,2,0.296424469318709,81.46,3,0.27644500540930395,11,2,6712,21703.2159005865,medium
44,51.7351598173516,55.2871467639016,15,0.007780240486374891,82.45,3,0.378139920663541,13,6,3659,33095.9115787169,catastrophic
